Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementClickable(findTestObject(""Motor Bekas/button_MotorBekas""))",Chrome 120.0.0.0,,,2024-01-30 14:42:14,2024-01-30 14:42:15,0.508s,PASSED
"click(findTestObject(""Motor Bekas/button_MotorBekas""))",Chrome 120.0.0.0,,,2024-01-30 14:42:15,2024-01-30 14:42:15,0.595s,PASSED
"verifyElementVisible(findTestObject(""Motor Bekas/label_MotorBekas""))",Chrome 120.0.0.0,,,2024-01-30 14:42:15,2024-01-30 14:42:18,2.421s,PASSED
"verifyElementClickable(findTestObject(""Motor Bekas/label_NamaMotor""))",Chrome 120.0.0.0,,,2024-01-30 14:42:18,2024-01-30 14:42:18,0.447s,PASSED
"click(findTestObject(""Motor Bekas/label_NamaMotor""))",Chrome 120.0.0.0,,,2024-01-30 14:42:18,2024-01-30 14:42:19,0.449s,PASSED
takeScreenshot(),Chrome 120.0.0.0,,,2024-01-30 14:42:19,2024-01-30 14:42:20,1.811s,PASSED
"verifyElementClickable(findTestObject(""Motor Bekas/button_AjukanKredit""))",Chrome 120.0.0.0,,,2024-01-30 14:42:20,2024-01-30 14:42:21,0.413s,PASSED
"click(findTestObject(""Motor Bekas/button_AjukanKredit""))",Chrome 120.0.0.0,,,2024-01-30 14:42:21,2024-01-30 14:42:21,0.486s,PASSED
takeScreenshot(),Chrome 120.0.0.0,,,2024-01-30 14:42:21,2024-01-30 14:42:23,1.212s,PASSED
"verifyElementVisible(findTestObject(""Motor Bekas/label_PengajuanMotor""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-30 14:42:23,2024-01-30 14:42:23,0.903s,PASSED
"verifyElementVisible(findTestObject(""Motor Bekas/dropdown_domisili""))",Chrome 120.0.0.0,,,2024-01-30 14:42:23,2024-01-30 14:42:24,0.453s,PASSED
"click(findTestObject(""Motor Bekas/dropdown_domisili""))",Chrome 120.0.0.0,,,2024-01-30 14:42:24,2024-01-30 14:42:24,0.516s,PASSED
"setText(findTestObject(""Motor Bekas/textbox_domisili""), ""Bekasi"")",Chrome 120.0.0.0,,,2024-01-30 14:42:24,2024-01-30 14:42:25,1.013s,PASSED
"click(findTestObject(""Motor Bekas/option_Domisili""))",Chrome 120.0.0.0,,,2024-01-30 14:42:25,2024-01-30 14:42:26,0.691s,PASSED
"verifyElementVisible(findTestObject(""Motor Bekas/cabang""))",Chrome 120.0.0.0,,,2024-01-30 14:42:26,2024-01-30 14:42:58,31.743s,FAILED
